,c0,c2,c4,c9,c10,c13,c14,c15,c16,c31,c89,c90,c91,c92,c93,c94,ymd,next_month_day1,next_month_day2,filename,dt_rank_neg
121527,0,180041810,精訪看（３）（准看護師・日３人～・週４日目以降３０分未満）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
66068,9,180041970,精神科複数回訪問加算（１日に２回）,,3.0,,,,,,2,8,12,0,9,0,2020-03-31,2020-04-01,2020-04-02,s_20200305.csv,1.0
66069,9,180042070,精神科複数回訪問加算（１日に３回以上）,,3.0,,,,,,2,8,12,0,9,0,2020-03-31,2020-04-01,2020-04-02,s_20200305.csv,1.0
42679,9,180042110,精神科重症患者早期集中支援管理料１（単一建物１人）,,3.0,,,,,,2,8,16,0,1,0,2018-03-31,2018-04-01,2018-04-02,s_20180305.csv,1.0
27078,9,180042210,精神科重症患者早期集中支援管理料１（同一建物居・特定施設等）,,3.0,,,,,,2,8,16,0,1,0,2016-03-31,2016-04-01,2016-04-02,s_20160304.csv,1.0
27079,9,180042310,精神科重症患者早期集中支援管理料１（同一建物居・特定施設等以外）,,3.0,,,,,,2,8,16,0,1,0,2016-03-31,2016-04-01,2016-04-02,s_20160304.csv,1.0
42680,9,180042410,精神科重症患者早期集中支援管理料２（単一建物１人）,,3.0,,,,,,2,8,16,0,2,0,2018-03-31,2018-04-01,2018-04-02,s_20180305.csv,1.0
27081,9,180042510,精神科重症患者早期集中支援管理料２（同一建物居・特定施設等）,,3.0,,,,,,2,8,16,0,2,0,2016-03-31,2016-04-01,2016-04-02,s_20160304.csv,1.0
27082,9,180042610,精神科重症患者早期集中支援管理料２（同一建物居・特定施設等以外）,,3.0,,,,,,2,8,16,0,2,0,2016-03-31,2016-04-01,2016-04-02,s_20160304.csv,1.0
16282,5,180042770,施設基準不適合減算（脳血管疾患等リハビリ料）（１００分の９０）,,6.0,,,,,,2,7,1,0,9,0,2014-03-19,2014-04-01,2014-04-02,s_20140319.csv,1.0
121528,0,180042870,入院時訪問指導加算,,3.0,0.0,0.0,0.0,0.0,99999999.0,2,7,3,2,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
106983,9,180042910,リハビリテーション計画提供料２,,3.0,,,,,,2,7,3,3,2,0,2024-06-01,2024-07-01,2024-07-02,s_20240306.csv,1.0
66070,9,180043070,経口摂取回復促進加算１,,3.0,,,,,,2,7,4,0,3,0,2020-03-31,2020-04-01,2020-04-02,s_20200305.csv,1.0
121529,0,180043110,認知症患者リハビリテーション料,,3.0,0.0,0.0,0.0,0.0,99999999.0,2,7,7,3,0,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121530,0,180043270,一回線量増加加算（全乳房照射）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,12,1,0,2,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
